Subject,Sequence,Position,BestFitModel,Source,ValueBin,StopResponse
2,33,1,Biased-prior,Participants,5,0
2,33,2,Biased-prior,Participants,2,0
2,33,3,Biased-prior,Participants,1,0
2,33,4,Biased-prior,Participants,8,0
2,33,5,Biased-prior,Participants,4,1
2,34,1,Biased-prior,Participants,1,0
2,34,2,Biased-prior,Participants,1,0
2,34,3,Biased-prior,Participants,7,1
2,35,1,Biased-prior,Participants,4,0
2,35,2,Biased-prior,Participants,1,0
2,35,3,Biased-prior,Participants,3,1
2,36,1,Biased-prior,Participants,6,0
2,36,2,Biased-prior,Participants,4,0
2,36,3,Biased-prior,Participants,8,1
2,37,1,Biased-prior,Participants,6,0
2,37,2,Biased-prior,Participants,1,0
2,37,3,Biased-prior,Participants,6,0
2,37,4,Biased-prior,Participants,3,1
2,38,1,Biased-prior,Participants,3,0
2,38,2,Biased-prior,Participants,1,0
2,38,3,Biased-prior,Participants,7,0
2,38,4,Biased-prior,Participants,8,1
2,39,1,Biased-prior,Participants,8,0
2,39,2,Biased-prior,Participants,6,0
2,39,3,Biased-prior,Participants,4,0
2,39,4,Biased-prior,Participants,6,0
2,39,5,Biased-prior,Participants,1,0
2,39,6,Biased-prior,Participants,6,0
2,39,7,Biased-prior,Participants,2,1
2,40,1,Biased-prior,Participants,8,1
3,1,1,Biased-prior,Participants,5,0
3,1,2,Biased-prior,Participants,1,0
3,1,3,Biased-prior,Participants,8,1
3,2,1,Biased-prior,Participants,3,0
3,2,2,Biased-prior,Participants,8,0
3,2,3,Biased-prior,Participants,7,0
3,2,4,Biased-prior,Participants,2,0
3,2,5,Biased-prior,Participants,8,0
3,2,6,Biased-prior,Participants,3,0
3,2,7,Biased-prior,Participants,5,0
3,3,1,Biased-prior,Participants,4,0
3,3,2,Biased-prior,Participants,4,0
3,3,3,Biased-prior,Participants,2,0
3,3,4,Biased-prior,Participants,2,0
3,3,5,Biased-prior,Participants,5,0
3,3,6,Biased-prior,Participants,7,0
3,3,7,Biased-prior,Participants,3,0
3,4,1,Biased-prior,Participants,7,0
3,4,2,Biased-prior,Participants,3,0
3,4,3,Biased-prior,Participants,3,0
3,4,4,Biased-prior,Participants,7,0
3,4,5,Biased-prior,Participants,1,0
3,4,6,Biased-prior,Participants,8,1
3,5,1,Biased-prior,Participants,3,0
3,5,2,Biased-prior,Participants,8,0
3,5,3,Biased-prior,Participants,5,0
3,5,4,Biased-prior,Participants,4,0
3,5,5,Biased-prior,Participants,6,0
3,5,6,Biased-prior,Participants,6,0
3,5,7,Biased-prior,Participants,4,0
3,6,1,Biased-prior,Participants,2,0
3,6,2,Biased-prior,Participants,4,0
3,6,3,Biased-prior,Participants,8,0
3,6,4,Biased-prior,Participants,5,0
3,6,5,Biased-prior,Participants,5,0
3,6,6,Biased-prior,Participants,5,0
3,6,7,Biased-prior,Participants,3,0
3,7,1,Biased-prior,Participants,5,0
3,7,2,Biased-prior,Participants,4,0
3,7,3,Biased-prior,Participants,2,0
3,7,4,Biased-prior,Participants,8,0
3,7,5,Biased-prior,Participants,3,0
3,7,6,Biased-prior,Participants,6,0
3,7,7,Biased-prior,Participants,5,0
3,8,1,Biased-prior,Participants,6,0
3,8,2,Biased-prior,Participants,2,0
3,8,3,Biased-prior,Participants,2,0
3,8,4,Biased-prior,Participants,3,0
3,8,5,Biased-prior,Participants,3,0
3,8,6,Biased-prior,Participants,3,0
3,8,7,Biased-prior,Participants,2,0
3,9,1,Biased-prior,Participants,6,0
3,9,2,Biased-prior,Participants,2,0
3,9,3,Biased-prior,Participants,8,1
3,10,1,Biased-prior,Participants,6,0
3,10,2,Biased-prior,Participants,6,0
3,10,3,Biased-prior,Participants,8,0
3,10,4,Biased-prior,Participants,5,0
3,10,5,Biased-prior,Participants,1,0
3,10,6,Biased-prior,Participants,7,1
3,11,1,Biased-prior,Participants,7,0
3,11,2,Biased-prior,Participants,3,0
3,11,3,Biased-prior,Participants,5,0
3,11,4,Biased-prior,Participants,3,0
3,11,5,Biased-prior,Participants,1,0
3,11,6,Biased-prior,Participants,4,0
3,11,7,Biased-prior,Participants,4,1
3,12,1,Biased-prior,Participants,1,0
3,12,2,Biased-prior,Participants,2,0
3,12,3,Biased-prior,Participants,1,0
3,12,4,Biased-prior,Participants,4,0
3,12,5,Biased-prior,Participants,6,1
3,13,1,Biased-prior,Participants,1,0
3,13,2,Biased-prior,Participants,2,0
3,13,3,Biased-prior,Participants,6,0
3,13,4,Biased-prior,Participants,7,1
3,14,1,Biased-prior,Participants,8,0
3,14,2,Biased-prior,Participants,7,0
3,14,3,Biased-prior,Participants,7,0
3,14,4,Biased-prior,Participants,1,0
3,14,5,Biased-prior,Participants,7,0
3,14,6,Biased-prior,Participants,2,0
3,14,7,Biased-prior,Participants,1,0
3,15,1,Biased-prior,Participants,6,0
3,15,2,Biased-prior,Participants,7,0
3,15,3,Biased-prior,Participants,2,0
3,15,4,Biased-prior,Participants,3,0
3,15,5,Biased-prior,Participants,6,0
3,15,6,Biased-prior,Participants,8,0
3,15,7,Biased-prior,Participants,4,0
3,16,1,Biased-prior,Participants,7,0
3,16,2,Biased-prior,Participants,7,0
3,16,3,Biased-prior,Participants,7,0
3,16,4,Biased-prior,Participants,5,0
3,16,5,Biased-prior,Participants,4,0
3,16,6,Biased-prior,Participants,1,0
3,16,7,Biased-prior,Participants,7,0
3,17,1,Biased-prior,Participants,4,0
3,17,2,Biased-prior,Participants,2,0
3,17,3,Biased-prior,Participants,7,0
3,17,4,Biased-prior,Participants,4,0
3,17,5,Biased-prior,Participants,5,0
3,17,6,Biased-prior,Participants,3,0
3,17,7,Biased-prior,Participants,2,0
3,18,1,Biased-prior,Participants,8,0
3,18,2,Biased-prior,Participants,5,0
3,18,3,Biased-prior,Participants,2,0
3,18,4,Biased-prior,Participants,7,0
3,18,5,Biased-prior,Participants,6,0
3,18,6,Biased-prior,Participants,1,0
3,18,7,Biased-prior,Participants,1,0
3,19,1,Biased-prior,Participants,8,1
3,20,1,Biased-prior,Participants,2,0
3,20,2,Biased-prior,Participants,5,0
3,20,3,Biased-prior,Participants,2,0
3,20,4,Biased-prior,Participants,2,0
3,20,5,Biased-prior,Participants,8,1
3,21,1,Biased-prior,Participants,2,0
3,21,2,Biased-prior,Participants,1,0
3,21,3,Biased-prior,Participants,2,0
3,21,4,Biased-prior,Participants,4,0
3,21,5,Biased-prior,Participants,1,0
3,21,6,Biased-prior,Participants,1,0
3,21,7,Biased-prior,Participants,4,0
3,22,1,Biased-prior,Participants,8,0
3,22,2,Biased-prior,Participants,8,1
3,23,1,Biased-prior,Participants,6,0
3,23,2,Biased-prior,Participants,1,0
3,23,3,Biased-prior,Participants,4,0
3,23,4,Biased-prior,Participants,8,0
3,23,5,Biased-prior,Participants,5,0
3,23,6,Biased-prior,Participants,1,0
3,23,7,Biased-prior,Participants,6,0
3,24,1,Biased-prior,Participants,1,0
3,24,2,Biased-prior,Participants,7,0
3,24,3,Biased-prior,Participants,3,0
3,24,4,Biased-prior,Participants,7,0
3,24,5,Biased-prior,Participants,8,1
3,25,1,Biased-prior,Participants,7,0
3,25,2,Biased-prior,Participants,6,0
3,25,3,Biased-prior,Participants,4,0
3,25,4,Biased-prior,Participants,2,0
3,25,5,Biased-prior,Participants,7,0
3,25,6,Biased-prior,Participants,5,0
3,25,7,Biased-prior,Participants,2,0
3,26,1,Biased-prior,Participants,4,0
3,26,2,Biased-prior,Participants,2,0
3,26,3,Biased-prior,Participants,8,0
3,26,4,Biased-prior,Participants,3,0
3,26,5,Biased-prior,Participants,1,0
3,26,6,Biased-prior,Participants,8,1
3,27,1,Biased-prior,Participants,8,1
3,28,1,Biased-prior,Participants,4,0
3,28,2,Biased-prior,Participants,6,0
3,28,3,Biased-prior,Participants,2,0
3,28,4,Biased-prior,Participants,1,0
3,28,5,Biased-prior,Participants,1,0
3,28,6,Biased-prior,Participants,7,0
3,28,7,Biased-prior,Participants,1,1
3,29,1,Biased-prior,Participants,6,0
3,29,2,Biased-prior,Participants,5,0
3,29,3,Biased-prior,Participants,3,0
3,29,4,Biased-prior,Participants,2,1
3,30,1,Biased-prior,Participants,6,0
3,30,2,Biased-prior,Participants,4,0
3,30,3,Biased-prior,Participants,8,0
3,30,4,Biased-prior,Participants,8,0
3,30,5,Biased-prior,Participants,2,0
3,30,6,Biased-prior,Participants,1,0
3,30,7,Biased-prior,Participants,8,1
3,31,1,Biased-prior,Participants,6,0
3,31,2,Biased-prior,Participants,1,0
3,31,3,Biased-prior,Participants,5,0
3,31,4,Biased-prior,Participants,7,0
3,31,5,Biased-prior,Participants,4,0
3,31,6,Biased-prior,Participants,2,0
3,31,7,Biased-prior,Participants,8,1
3,32,1,Biased-prior,Participants,8,0
3,32,2,Biased-prior,Participants,3,0
3,32,3,Biased-prior,Participants,7,0
3,32,4,Biased-prior,Participants,2,0
3,32,5,Biased-prior,Participants,5,0
3,32,6,Biased-prior,Participants,3,0
3,32,7,Biased-prior,Participants,4,0
3,33,1,Biased-prior,Participants,8,0
3,33,2,Biased-prior,Participants,6,0
3,33,3,Biased-prior,Participants,4,0
3,33,4,Biased-prior,Participants,4,1
3,34,1,Biased-prior,Participants,3,0
3,34,2,Biased-prior,Participants,1,0
3,34,3,Biased-prior,Participants,4,0
3,34,4,Biased-prior,Participants,7,0
3,34,5,Biased-prior,Participants,3,0
3,34,6,Biased-prior,Participants,4,0
3,34,7,Biased-prior,Participants,7,1
3,35,1,Biased-prior,Participants,6,0
3,35,2,Biased-prior,Participants,3,0
3,35,3,Biased-prior,Participants,2,0
3,35,4,Biased-prior,Participants,8,0
3,35,5,Biased-prior,Participants,8,1
3,36,1,Biased-prior,Participants,1,0
3,36,2,Biased-prior,Participants,5,0
3,36,3,Biased-prior,Participants,3,0
3,36,4,Biased-prior,Participants,3,0
3,36,5,Biased-prior,Participants,7,0
3,36,6,Biased-prior,Participants,6,0
3,36,7,Biased-prior,Participants,5,0
3,37,1,Biased-prior,Participants,6,0
3,37,2,Biased-prior,Participants,2,0
3,37,3,Biased-prior,Participants,7,0
3,37,4,Biased-prior,Participants,3,0
3,37,5,Biased-prior,Participants,6,0
3,37,6,Biased-prior,Participants,6,0
3,37,7,Biased-prior,Participants,1,0
3,38,1,Biased-prior,Participants,4,0
3,38,2,Biased-prior,Participants,5,0
3,38,3,Biased-prior,Participants,2,0
3,38,4,Biased-prior,Participants,1,0
3,38,5,Biased-prior,Participants,3,0
3,38,6,Biased-prior,Participants,2,0
3,38,7,Biased-prior,Participants,8,1
3,39,1,Biased-prior,Participants,8,1
3,40,1,Biased-prior,Participants,1,0
3,40,2,Biased-prior,Participants,5,0
3,40,3,Biased-prior,Participants,6,0
3,40,4,Biased-prior,Participants,1,0
3,40,5,Biased-prior,Participants,7,0
3,40,6,Biased-prior,Participants,5,0
3,40,7,Biased-prior,Participants,4,0
4,1,1,Biased-prior,Participants,6,0
4,1,2,Biased-prior,Participants,7,0
4,1,3,Biased-prior,Participants,8,0
4,1,4,Biased-prior,Participants,2,0
4,1,5,Biased-prior,Participants,3,0
4,1,6,Biased-prior,Participants,6,0
4,1,7,Biased-prior,Participants,4,0
4,2,1,Biased-prior,Participants,2,0
4,2,2,Biased-prior,Participants,1,0
4,2,3,Biased-prior,Participants,6,0
4,2,4,Biased-prior,Participants,1,0
4,2,5,Biased-prior,Participants,8,1
4,3,1,Biased-prior,Participants,2,0
4,3,2,Biased-prior,Participants,8,1
4,4,1,Biased-prior,Participants,7,0
4,4,2,Biased-prior,Participants,2,0
4,4,3,Biased-prior,Participants,3,0
4,4,4,Biased-prior,Participants,8,0
4,4,5,Biased-prior,Participants,1,0
4,4,6,Biased-prior,Participants,7,1
4,5,1,Biased-prior,Participants,1,0
4,5,2,Biased-prior,Participants,2,0
4,5,3,Biased-prior,Participants,3,0
4,5,4,Biased-prior,Participants,3,0
4,5,5,Biased-prior,Participants,7,0
4,5,6,Biased-prior,Participants,2,0
4,5,7,Biased-prior,Participants,1,0
4,6,1,Biased-prior,Participants,7,0
4,6,2,Biased-prior,Participants,4,0
4,6,3,Biased-prior,Participants,5,0
4,6,4,Biased-prior,Participants,1,0
4,6,5,Biased-prior,Participants,4,0
4,6,6,Biased-prior,Participants,6,0
4,6,7,Biased-prior,Participants,6,0
4,7,1,Biased-prior,Participants,3,1
4,8,1,Biased-prior,Participants,3,0
4,8,2,Biased-prior,Participants,5,0
4,8,3,Biased-prior,Participants,4,1
4,9,1,Biased-prior,Participants,1,0
4,9,2,Biased-prior,Participants,4,0
4,9,3,Biased-prior,Participants,6,0
4,9,4,Biased-prior,Participants,1,0
4,9,5,Biased-prior,Participants,1,0
4,9,6,Biased-prior,Participants,7,1
4,10,1,Biased-prior,Participants,3,0
4,10,2,Biased-prior,Participants,1,0
4,10,3,Biased-prior,Participants,2,0
4,10,4,Biased-prior,Participants,8,1
4,11,1,Biased-prior,Participants,2,0
4,11,2,Biased-prior,Participants,8,0
4,11,3,Biased-prior,Participants,2,0
4,11,4,Biased-prior,Participants,7,1
4,12,1,Biased-prior,Participants,8,0
4,12,2,Biased-prior,Participants,6,0
4,12,3,Biased-prior,Participants,5,0
4,12,4,Biased-prior,Participants,5,0
4,12,5,Biased-prior,Participants,7,0
4,12,6,Biased-prior,Participants,3,0
4,12,7,Biased-prior,Participants,8,1
4,13,1,Biased-prior,Participants,5,0
4,13,2,Biased-prior,Participants,4,0
4,13,3,Biased-prior,Participants,7,0
4,13,4,Biased-prior,Participants,1,0
4,13,5,Biased-prior,Participants,6,0
4,13,6,Biased-prior,Participants,5,0
4,13,7,Biased-prior,Participants,7,0
4,14,1,Biased-prior,Participants,3,0
4,14,2,Biased-prior,Participants,1,0
4,14,3,Biased-prior,Participants,3,0
4,14,4,Biased-prior,Participants,7,0
4,14,5,Biased-prior,Participants,5,0
4,14,6,Biased-prior,Participants,2,0
4,14,7,Biased-prior,Participants,4,0
4,15,1,Biased-prior,Participants,8,0
4,15,2,Biased-prior,Participants,8,1
4,16,1,Biased-prior,Participants,3,0
4,16,2,Biased-prior,Participants,4,0
4,16,3,Biased-prior,Participants,2,1
4,17,1,Biased-prior,Participants,3,0
4,17,2,Biased-prior,Participants,5,0
4,17,3,Biased-prior,Participants,5,0
4,17,4,Biased-prior,Participants,4,1
4,18,1,Biased-prior,Participants,4,0
4,18,2,Biased-prior,Participants,2,0
4,18,3,Biased-prior,Participants,2,0
4,18,4,Biased-prior,Participants,3,0
4,18,5,Biased-prior,Participants,2,0
4,18,6,Biased-prior,Participants,3,0
4,18,7,Biased-prior,Participants,5,1
4,19,1,Biased-prior,Participants,6,0
4,19,2,Biased-prior,Participants,3,0
4,19,3,Biased-prior,Participants,6,0
4,19,4,Biased-prior,Participants,6,1
4,20,1,Biased-prior,Participants,1,0
4,20,2,Biased-prior,Participants,1,0
4,20,3,Biased-prior,Participants,4,0
4,20,4,Biased-prior,Participants,5,1
4,21,1,Biased-prior,Participants,4,1
4,22,1,Biased-prior,Participants,1,0
4,22,2,Biased-prior,Participants,8,0
4,22,3,Biased-prior,Participants,7,1
4,23,1,Biased-prior,Participants,1,0
4,23,2,Biased-prior,Participants,1,0
4,23,3,Biased-prior,Participants,4,0
4,23,4,Biased-prior,Participants,5,0
4,23,5,Biased-prior,Participants,3,0
4,23,6,Biased-prior,Participants,8,1
4,24,1,Biased-prior,Participants,7,0
4,24,2,Biased-prior,Participants,1,0
4,24,3,Biased-prior,Participants,5,0
4,24,4,Biased-prior,Participants,7,1
4,25,1,Biased-prior,Participants,8,0
4,25,2,Biased-prior,Participants,6,0
4,25,3,Biased-prior,Participants,8,0
4,25,4,Biased-prior,Participants,4,0
4,25,5,Biased-prior,Participants,4,0
4,25,6,Biased-prior,Participants,1,0
4,25,7,Biased-prior,Participants,4,0
4,26,1,Biased-prior,Participants,8,0
4,26,2,Biased-prior,Participants,7,0
4,26,3,Biased-prior,Participants,5,0
4,26,4,Biased-prior,Participants,4,0
4,26,5,Biased-prior,Participants,7,0
4,26,6,Biased-prior,Participants,3,0
4,26,7,Biased-prior,Participants,8,0
4,27,1,Biased-prior,Participants,7,0
4,27,2,Biased-prior,Participants,7,0
4,27,3,Biased-prior,Participants,2,0
4,27,4,Biased-prior,Participants,1,0
4,27,5,Biased-prior,Participants,6,1
4,28,1,Biased-prior,Participants,2,0
4,28,2,Biased-prior,Participants,5,0
4,28,3,Biased-prior,Participants,2,0
4,28,4,Biased-prior,Participants,5,0
4,28,5,Biased-prior,Participants,1,0
4,28,6,Biased-prior,Participants,1,0
4,28,7,Biased-prior,Participants,4,0
4,29,1,Biased-prior,Participants,8,0
4,29,2,Biased-prior,Participants,5,0
4,29,3,Biased-prior,Participants,1,0
4,29,4,Biased-prior,Participants,2,0
4,29,5,Biased-prior,Participants,5,0
4,29,6,Biased-prior,Participants,7,1
4,30,1,Biased-prior,Participants,3,0
4,30,2,Biased-prior,Participants,8,0
4,30,3,Biased-prior,Participants,7,0
4,30,4,Biased-prior,Participants,2,0
4,30,5,Biased-prior,Participants,7,0
4,30,6,Biased-prior,Participants,3,0
4,30,7,Biased-prior,Participants,1,0
4,31,1,Biased-prior,Participants,7,0
4,31,2,Biased-prior,Participants,1,0
4,31,3,Biased-prior,Participants,4,0
4,31,4,Biased-prior,Participants,5,0
4,31,5,Biased-prior,Participants,8,0
4,31,6,Biased-prior,Participants,8,1
4,32,1,Biased-prior,Participants,8,0
4,32,2,Biased-prior,Participants,7,0
4,32,3,Biased-prior,Participants,7,0
4,32,4,Biased-prior,Participants,3,0
4,32,5,Biased-prior,Participants,8,0
4,32,6,Biased-prior,Participants,3,0
4,32,7,Biased-prior,Participants,5,0
4,33,1,Biased-prior,Participants,4,0
4,33,2,Biased-prior,Participants,4,0
4,33,3,Biased-prior,Participants,4,0
4,33,4,Biased-prior,Participants,5,0
4,33,5,Biased-prior,Participants,1,0
4,33,6,Biased-prior,Participants,5,0
4,33,7,Biased-prior,Participants,1,0
4,34,1,Biased-prior,Participants,3,0
4,34,2,Biased-prior,Participants,7,0
4,34,3,Biased-prior,Participants,4,0
4,34,4,Biased-prior,Participants,2,0
4,34,5,Biased-prior,Participants,5,0
4,34,6,Biased-prior,Participants,3,0
4,34,7,Biased-prior,Participants,4,0
4,35,1,Biased-prior,Participants,7,0
4,35,2,Biased-prior,Participants,1,0
4,35,3,Biased-prior,Participants,8,0
4,35,4,Biased-prior,Participants,7,1
4,36,1,Biased-prior,Participants,8,0
4,36,2,Biased-prior,Participants,2,0
4,36,3,Biased-prior,Participants,7,0
4,36,4,Biased-prior,Participants,6,0
4,36,5,Biased-prior,Participants,4,0
4,36,6,Biased-prior,Participants,2,1
4,37,1,Biased-prior,Participants,7,0
4,37,2,Biased-prior,Participants,2,0
4,37,3,Biased-prior,Participants,3,0
4,37,4,Biased-prior,Participants,1,1
4,38,1,Biased-prior,Participants,6,0
4,38,2,Biased-prior,Participants,2,0
4,38,3,Biased-prior,Participants,7,1
4,39,1,Biased-prior,Participants,5,0
4,39,2,Biased-prior,Participants,4,0
4,39,3,Biased-prior,Participants,4,0
4,39,4,Biased-prior,Participants,6,0
4,39,5,Biased-prior,Participants,1,0
4,39,6,Biased-prior,Participants,8,0
4,39,7,Biased-prior,Participants,5,0
4,40,1,Biased-prior,Participants,3,0
4,40,2,Biased-prior,Participants,4,0
4,40,3,Biased-prior,Participants,2,0
4,40,4,Biased-prior,Participants,4,1
5,1,1,Biased-prior,Participants,7,0
5,1,2,Biased-prior,Participants,4,0
5,1,3,Biased-prior,Participants,2,0
5,1,4,Biased-prior,Participants,8,1
5,2,1,Biased-prior,Participants,1,0
5,2,2,Biased-prior,Participants,3,0
5,2,3,Biased-prior,Participants,6,0
5,2,4,Biased-prior,Participants,3,0
5,2,5,Biased-prior,Participants,8,0
5,2,6,Biased-prior,Participants,2,0
5,2,7,Biased-prior,Participants,1,1
5,3,1,Biased-prior,Participants,5,0
5,3,2,Biased-prior,Participants,1,0
5,3,3,Biased-prior,Participants,2,0
5,3,4,Biased-prior,Participants,3,0
5,3,5,Biased-prior,Participants,3,0
5,3,6,Biased-prior,Participants,6,0
5,3,7,Biased-prior,Participants,5,1
5,4,1,Biased-prior,Participants,6,0
5,4,2,Biased-prior,Participants,6,0
5,4,3,Biased-prior,Participants,4,0
5,4,4,Biased-prior,Participants,7,0
5,4,5,Biased-prior,Participants,4,0
5,4,6,Biased-prior,Participants,8,1
5,5,1,Biased-prior,Participants,5,0
5,5,2,Biased-prior,Participants,7,0
5,5,3,Biased-prior,Participants,5,0
5,5,4,Biased-prior,Participants,5,1
5,6,1,Biased-prior,Participants,7,0
5,6,2,Biased-prior,Participants,8,1
5,7,1,Biased-prior,Participants,8,0
5,7,2,Biased-prior,Participants,3,0
5,7,3,Biased-prior,Participants,4,0
5,7,4,Biased-prior,Participants,3,0
5,7,5,Biased-prior,Participants,1,0
5,7,6,Biased-prior,Participants,3,0
5,7,7,Biased-prior,Participants,5,1
5,8,1,Biased-prior,Participants,4,0
5,8,2,Biased-prior,Participants,3,0
5,8,3,Biased-prior,Participants,8,1
5,9,1,Biased-prior,Participants,8,0
5,9,2,Biased-prior,Participants,6,1
5,10,1,Biased-prior,Participants,2,0
5,10,2,Biased-prior,Participants,2,0
5,10,3,Biased-prior,Participants,6,1
5,11,1,Biased-prior,Participants,6,0
5,11,2,Biased-prior,Participants,6,0
5,11,3,Biased-prior,Participants,7,0
5,11,4,Biased-prior,Participants,7,1
5,12,1,Biased-prior,Participants,3,0
5,12,2,Biased-prior,Participants,1,0
5,12,3,Biased-prior,Participants,8,0
5,12,4,Biased-prior,Participants,1,0
5,12,5,Biased-prior,Participants,2,0
5,12,6,Biased-prior,Participants,5,0
5,12,7,Biased-prior,Participants,6,1
5,13,1,Biased-prior,Participants,7,1
5,14,1,Biased-prior,Participants,7,0
5,14,2,Biased-prior,Participants,4,0
5,14,3,Biased-prior,Participants,8,1
5,15,1,Biased-prior,Participants,3,0
5,15,2,Biased-prior,Participants,2,0
5,15,3,Biased-prior,Participants,6,0
5,15,4,Biased-prior,Participants,7,0
5,15,5,Biased-prior,Participants,1,0
5,15,6,Biased-prior,Participants,1,0
5,15,7,Biased-prior,Participants,7,1
5,16,1,Biased-prior,Participants,7,0
5,16,2,Biased-prior,Participants,5,1
5,17,1,Biased-prior,Participants,7,0
5,17,2,Biased-prior,Participants,8,1
5,18,1,Biased-prior,Participants,3,0
5,18,2,Biased-prior,Participants,2,0
5,18,3,Biased-prior,Participants,7,0
5,18,4,Biased-prior,Participants,4,0
5,18,5,Biased-prior,Participants,3,0
5,18,6,Biased-prior,Participants,8,0
5,18,7,Biased-prior,Participants,2,1
5,19,1,Biased-prior,Participants,3,0
5,19,2,Biased-prior,Participants,8,0
5,19,3,Biased-prior,Participants,7,0
5,19,4,Biased-prior,Participants,3,0
5,19,5,Biased-prior,Participants,6,1
5,20,1,Biased-prior,Participants,2,0
5,20,2,Biased-prior,Participants,3,0
5,20,3,Biased-prior,Participants,7,1
5,21,1,Biased-prior,Participants,5,0
5,21,2,Biased-prior,Participants,6,0
5,21,3,Biased-prior,Participants,6,0
5,21,4,Biased-prior,Participants,5,0
5,21,5,Biased-prior,Participants,3,0
5,21,6,Biased-prior,Participants,1,0
5,21,7,Biased-prior,Participants,5,0
5,22,1,Biased-prior,Participants,1,0
5,22,2,Biased-prior,Participants,6,1
5,23,1,Biased-prior,Participants,7,0
5,23,2,Biased-prior,Participants,8,0
5,23,3,Biased-prior,Participants,4,0
5,23,4,Biased-prior,Participants,1,0
5,23,5,Biased-prior,Participants,2,0
5,23,6,Biased-prior,Participants,2,0
5,23,7,Biased-prior,Participants,1,0
5,24,1,Biased-prior,Participants,3,0
5,24,2,Biased-prior,Participants,4,0
5,24,3,Biased-prior,Participants,6,0
5,24,4,Biased-prior,Participants,7,0
5,24,5,Biased-prior,Participants,6,1
5,25,1,Biased-prior,Participants,5,0
5,25,2,Biased-prior,Participants,1,0
5,25,3,Biased-prior,Participants,7,0
5,25,4,Biased-prior,Participants,2,0
5,25,5,Biased-prior,Participants,7,0
5,25,6,Biased-prior,Participants,4,0
5,25,7,Biased-prior,Participants,5,0
5,26,1,Biased-prior,Participants,1,0
5,26,2,Biased-prior,Participants,2,0
5,26,3,Biased-prior,Participants,4,0
5,26,4,Biased-prior,Participants,7,0
5,26,5,Biased-prior,Participants,3,0
5,26,6,Biased-prior,Participants,8,0
5,26,7,Biased-prior,Participants,8,0
5,27,1,Biased-prior,Participants,3,0
5,27,2,Biased-prior,Participants,5,0
5,27,3,Biased-prior,Participants,4,0
5,27,4,Biased-prior,Participants,2,0
5,27,5,Biased-prior,Participants,6,0
5,27,6,Biased-prior,Participants,2,0
5,27,7,Biased-prior,Participants,6,0
5,28,1,Biased-prior,Participants,6,0
